id;pfw_attempt_id;desfile_id;nite;date_obs;expnum;ccdnum;band;exptime;cloud_apass;cloud_nomad;t_eff;crossra0;radeg;decdeg;racmin;racmax;deccmin;deccmax;ra_cent;dec_cent;rac1;rac2;rac3;rac4;decc1;decc2;decc3;decc4;ra_size;dec_size;path;filename;compression;downloaded
13165197;2425620;1383557263;2018-10-09;2018-10-10 07:14:25.619171-03:00;782099;22;g;90.0;0.31200001;0.23800001;0.44124401;False;25.94085;-2.040116;25.947769;26.247839;-1.869048;-1.718882;26.097833;-1.793912;25.947866;25.947769;26.247839;26.247823;-1.718882;-1.868767;-1.869048;-1.719217;0.3000700;0.1501660;OPS/finalcut/Y6A1/20181009-r4055/D00782099/p01/red/immask;D00782099_g_c22_r4055p01_immasked.fits;.fz;False
13165136;2427302;1383436933;2018-10-09;2018-10-10 07:12:26.648196-03:00;782098;41;r;90.0;0.41600001;0.36199999;0.38485599;False;25.94085;-2.040116;25.635981;25.936118;-2.363498;-2.213454;25.785978;-2.288472;25.635981;25.636034;25.936113;25.936118;-2.213454;-2.363282;-2.363498;-2.213618;0.3001370;0.1500440;OPS/finalcut/Y6A1/20181009-r4055/D00782098/p01/red/immask;D00782098_r_c41_r4055p01_immasked.fits;.fz;False
13165075;2424611;1383658325;2018-10-09;2018-10-10 07:10:27.678628-03:00;782097;53;i;90.0;0.31200001;0.38600001;0.84971398;False;25.94085;-2.040116;25.79191;26.09195;-2.692521;-2.542878;25.941855;-2.617748;25.79191;25.791914;26.091801;26.09195;-2.542878;-2.692316;-2.692521;-2.543083;0.3000400;0.1496430;OPS/finalcut/Y6A1/20181009-r4055/D00782097/p01/red/immask;D00782097_i_c53_r4055p01_immasked.fits;.fz;False
13127075;2424396;1381584319;2018-09-21;2018-09-22 08:17:59.024212-03:00;776431;37;z;90.0;-9999.0;-0.054;0.53040802;False;25.94085;-2.040116;26.412296;26.711351;-2.198246;-2.048396;26.561926;-2.123266;26.412351;26.412296;26.711312;26.711351;-2.048396;-2.198246;-2.198081;-2.048426;0.2990550;0.1498500;OPS/finalcut/Y6A1/20180921-r4055/D00776431/p01/red/immask;D00776431_z_c37_r4055p01_immasked.fits;.fz;False
13027596;2423866;1376684404;2018-09-08;2018-09-09 06:47:56.513533-03:00;771140;7;g;90.0;-0.055;-0.03;0.94368798;False;27.339029;-1.549764;27.656432;27.955639;-0.885772;-0.736036;27.806032;-0.810827;27.656432;27.656576;27.955639;27.955451;-0.736036;-0.885267;-0.885772;-0.73645;0.2992070;0.1497360;OPS/finalcut/Y6A1/20180908-r4055/D00771140/p01/red/immask;D00771140_g_c07_r4055p01_immasked.fits;.fz;False
13027535;2423865;1376915552;2018-09-08;2018-09-09 06:45:57.851732-03:00;771139;21;r;90.0;-0.04;-0.021;1.18069601;False;27.339029;-1.549764;27.034541;27.334628;-1.377623;-1.227672;27.184528;-1.302561;27.034741;27.034541;27.334538;27.334628;-1.227672;-1.3775;-1.377623;-1.22773;0.3000870;0.1499510;OPS/finalcut/Y6A1/20180908-r4055/D00771139/p01/red/immask;D00771139_r_c21_r4055p01_immasked.fits;.fz;False
13027474;2425861;1376777677;2018-09-08;2018-09-09 06:43:58.417093-03:00;771138;36;i;90.0;0.04;0.059;1.22360694;False;27.339029;-1.549764;27.500817;27.800629;-1.70818;-1.558092;27.650778;-1.633093;27.500817;27.500836;27.800629;27.800618;-1.558206;-1.70818;-1.707953;-1.558092;0.2998120;0.1500880;OPS/finalcut/Y6A1/20180908-r4055/D00771138/p01/red/immask;D00771138_i_c36_r4055p01_immasked.fits;.fz;False
12630757;2043109;970151938;2017-12-22;2017-12-23 01:19:57.980728-03:00;706447;21;Y;90.0;-9999.0;0.086;0.59104401;False;25.168442;-3.0207;24.8652;25.165472;-2.848342;-2.698469;25.015286;-2.773329;24.865346;24.8652;25.165454;25.165472;-2.698478;-2.848289;-2.848342;-2.698469;0.3002720;0.1498730;OPS/finalcut/Y5A1/r3518/20171222/D00706447/p01/red/immask;D00706447_Y_c21_r3518p01_immasked.fits;.fz;False
1307102;87591;184817519;2015-01-14;2015-01-15 00:03:48.785624-03:00;398226;39;z;90.0;0.173;0.13;0.652198970317841;False;24.4007;-3.4434;23.474661;23.773706;-3.760269;-3.610027;23.624072;-3.685092;23.474721;23.474661;23.773706;23.773679;-3.610027;-3.759532;-3.760269;-3.610608;0.2990450;0.1502420;OPS/finalcut/Y2A1/Y2-2284/20150114/D00398226/p01/red/immask;D00398226_z_c39_r2284p01_immasked.fits;.fz;False
1639922;75675;165326560;2014-12-05;2014-12-06 01:35:28.719049-03:00;384049;6;Y;45.0;0.063;0.115;1.21245300769806;False;25.248462;-3.984476;25.253912;25.553841;-3.312539;-3.162945;25.403872;-3.237647;25.254028;25.253912;25.553841;25.553727;-3.162945;-3.312125;-3.312539;-3.163349;0.2999290;0.1495940;OPS/finalcut/Y2A1/Y2-2277/20141205/D00384049/p01/red/immask;D00384049_Y_c06_r2277p01_immasked.fits;.fz;False
2898722;134278;240139000;2013-12-14;2013-12-15 02:12:21.437419-03:00;264536;33;Y;45.0;0.091;0.136;0.620332002639771;False;25.444854;-3.257492;24.671071;24.970467;-3.412764;-3.262562;24.820607;-3.337597;24.671189;24.671071;24.970382;24.970467;-3.262562;-3.412201;-3.412764;-3.262928;0.2993960;0.1502020;OPS/finalcut/Y2A1/Y1-2297/20131214/D00264536/p01/red/immask;D00264536_Y_c33_r2297p01_immasked.fits;.fz;True
3340412;208450;337664302;2013-10-25;2013-10-26 02:28:30.216329-03:00;246881;53;g;90.0;0.024;-0.045;0.286473006010056;False;25.444854;-3.257492;25.299241;25.599594;-3.902988;-3.753404;25.449347;-3.828249;25.299252;25.299241;25.599448;25.599594;-3.753404;-3.902834;-3.902988;-3.753561;0.3003530;0.1495840;OPS/finalcut/Y2A1/Y1-2363/20131025/D00246881/p01/red/immask;D00246881_g_c53_r2363p01_immasked.fits;.fz;True
3443746;205915;334680426;2013-10-03;2013-10-04 04:47:40.063578-03:00;241125;51;g;90.0;0.037;-0.011;0.691483974456787;False;26.065017;-3.680132;25.29738;25.597034;-4.324906;-4.174566;25.447122;-4.249726;25.297447;25.29738;25.597034;25.597008;-4.174566;-4.323973;-4.324906;-4.175513;0.2996540;0.1503400;OPS/finalcut/Y2A1/Y1-2362/20131003/D00241125/p01/red/immask;D00241125_g_c51_r2362p01_immasked.fits;.fz;True
3457105;202130;333262033;2013-10-02;2013-10-03 07:10:48.468823-03:00;240777;5;g;90.0;0.029;0.025;0.613663017749786;False;25.248462;-3.984476;24.945876;25.245848;-3.317693;-3.168381;25.095853;-3.242943;24.946098;24.945876;25.245848;25.245845;-3.168466;-3.317693;-3.317601;-3.168381;0.2999720;0.1493120;OPS/finalcut/Y2A1/Y1-2362/20131002/D00240777/p01/red/immask;D00240777_g_c05_r2362p01_immasked.fits;.fz;True
3574985;199470;315270881;2013-09-16;2013-09-17 04:50:55.552320-03:00;235327;10;Y;45.0;-0.065;-0.033;0.259131014347076;False;25.9888;-2.429;25.841754;26.14168;-1.921094;-1.771523;25.991719;-1.8462;25.841935;25.841754;26.14168;26.141653;-1.771523;-1.92098;-1.921094;-1.771642;0.2999260;0.1495710;OPS/finalcut/Y2A1/Y1-2357/20130916/D00235327/p01/red/immask;D00235327_Y_c10_r2357p01_immasked.fits;.fz;True
